sample_idx,orient_idx,setpoint,wall_r,roof_r,fr1_kh,fr2_kwh,fr1_SPACE1-1_kh,fr1_SPACE2-1_kh,fr1_SPACE3-1_kh,fr1_SPACE4-1_kh,fr1_SPACE5-1_kh
105,3,24.066874016076326,1.944867704063654,1.6323642833158374,3742.3799361511906,66438.94,531.222472747407,500.146094943725,1285.4392645107623,1350.6392845158216,74.93281943347428
106,3,24.066874016076326,0.762668902054429,3.755652407184243,3894.457070333812,66147.28,577.9365463325361,489.0262940080961,1328.1754760125348,1474.998860373728,24.319893606917272
107,2,24.509392025880516,1.944867704063654,3.755652407184243,2952.1037227379893,62458.38,129.0762501612425,975.6000474046681,951.3629238533737,896.0645013187049,0.0
108,2,25.903463061898947,2.336040759459138,2.9306223345920444,1419.5698683946237,62175.05,10.979505798073676,572.7554005344384,415.91980794025943,419.91515412185214,0.0
109,3,25.903463061898947,2.336040759459138,2.9306223345920444,1020.2637714419709,62397.27,27.18909923145761,31.843321851695578,559.6988184031173,401.53253195570045,0.0
110,2,25.79293389711529,2.336040759459138,2.9306223345920444,1508.8314004262318,62208.38,15.140717946982418,598.8386358870149,446.00421286718336,448.84783372505103,0.0
111,2,25.903463061898947,1.1045710649341345,2.9306223345920444,1824.1328634590946,64338.94,25.604799490295214,702.7159142793513,540.0711990150209,555.740950674427,0.0
112,2,25.903463061898947,2.336040759459138,2.586224151775241,1465.6973999820618,62608.38,14.235149101994079,590.4288501986399,431.6059906295564,429.42741005187145,0.0
113,3,25.79293389711529,1.1045710649341345,2.586224151775241,1486.516922685024,65077.83,90.88242778622129,80.98240171747328,717.9997545056663,596.6523386756631,0.0
114,0,23.08762719295919,1.1290041599422693,2.0305937668308616,5715.101404053657,66963.94,919.5324461565897,1803.649577924658,900.4656094679113,1828.1313288738625,263.3224416306358
115,1,23.08762719295919,1.1290041599422693,2.0305937668308616,6620.333393876228,67891.72,1137.061036960682,2323.749588328267,1838.6029151369678,994.0588877468994,326.8609657034118
116,0,23.850234142504632,1.1290041599422693,2.0305937668308616,3917.3250003137,66472.28,534.3852834061652,1364.055774123889,546.7884728686219,1423.384123491677,48.711346423347265
117,0,23.08762719295919,2.4648009929805994,2.0305937668308616,5045.639057862893,64633.39,783.5997885284927,1599.3972616431006,797.9750901223806,1629.0412917484894,235.6256258204303
118,0,23.08762719295919,1.1290041599422693,1.8039415813982487,5836.693537802964,67583.39,941.3750422612678,1829.992615259468,924.657079206632,1859.5085309002568,281.16027017533946
119,1,23.850234142504632,2.4648009929805994,1.8039415813982487,3987.5008722731923,65402.83,676.7508905625288,1462.1562676098715,1245.871962661803,536.9248842267089,65.79686721228
120,1,25.3191937841475,0.6403245013207197,2.1634547635912895,2496.7886524376136,68597.28,416.26986310616877,962.8780036311241,892.2153530829868,225.42543261733405,0.0
